SNP_used,boss,boss_5_10,gwas,reliefF,gain_ratio
60,0.99186991869919,0.99560975609756,0.9979674796748,0.99756097560976,0.99430894308943
61,0.99130081300813,0.9950406504065,0.99788617886179,0.99845528455285,0.99447154471545
62,0.99081300813008,0.99341463414634,0.99764227642276,0.99967479674797,0.99487804878049
63,0.99268292682927,0.99560975609756,0.99788617886179,0.99934959349593,0.99512195121951
64,0.99365853658537,0.99406504065041,0.99780487804878,0.99943089430894,0.99382113821138
65,0.99089430894309,0.99308943089431,0.99650406504065,0.99869918699187,0.99406504065041
66,0.98886178861789,0.99333333333333,0.99772357723577,0.99861788617886,0.99365853658537
67,0.99162601626016,0.99430894308943,0.99747967479675,0.99869918699187,0.99536585365854
68,0.99089430894309,0.99406504065041,0.99585365853659,0.99642276422764,0.99577235772358
69,0.99162601626016,0.99536585365854,0.9969918699187,0.99910569105691,0.99439024390244
70,0.99479674796748,0.9939837398374,0.99666666666667,0.99829268292683,0.99520325203252
71,0.99544715447154,0.9939837398374,0.9980487804878,0.99886178861789,0.99552845528455
72,0.99365853658537,0.99487804878049,0.99682926829268,0.99886178861789,0.99577235772358
73,0.99471544715447,0.99642276422764,0.99788617886179,0.99813008130081,0.99723577235772
74,0.99357723577236,0.99723577235772,0.99626016260163,0.9979674796748,0.99634146341463
75,0.99536585365854,0.99528455284553,0.99707317073171,0.99764227642276,0.99479674796748
76,0.99447154471545,0.99707317073171,0.99626016260163,0.99788617886179,0.99544715447154
77,0.99455284552846,0.99528455284553,0.99715447154472,0.99926829268293,0.99609756097561
78,0.99577235772358,0.99674796747967,0.99634146341463,0.99894308943089,0.99609756097561
79,0.99373983739837,0.99674796747967,0.99585365853659,0.99886178861789,0.99772357723577
80,0.99650406504065,0.99617886178862,0.99471544715447,0.99837398373984,0.99715447154472
81,0.9949593495935,0.99731707317073,0.99731707317073,0.99886178861789,0.99650406504065
82,0.99349593495935,0.99634146341463,0.9949593495935,0.99829268292683,0.99617886178862
83,0.9939837398374,0.99739837398374,0.9960162601626,0.99764227642276,0.99691056910569
84,0.99487804878049,0.99536585365854,0.99479674796748,0.9980487804878,0.99691056910569
85,0.99536585365854,0.99715447154472,0.99764227642276,0.9980487804878,0.99837398373984
86,0.99487804878049,0.99560975609756,0.99634146341463,0.99845528455285,0.99756097560976
87,0.9949593495935,0.9950406504065,0.99723577235772,0.99837398373984,0.99780487804878
88,0.99544715447154,0.9969918699187,0.99723577235772,0.99845528455285,0.99731707317073
89,0.99617886178862,0.99772357723577,0.9969918699187,0.99918699186992,0.99861788617886
90,0.99585365853659,0.99520325203252,0.99829268292683,0.99837398373984,0.99747967479675
91,0.99691056910569,0.99455284552846,0.99674796747967,0.99715447154472,0.99569105691057
92,0.99666666666667,0.99764227642276,0.99756097560976,0.99886178861789,0.99593495934959
93,0.99707317073171,0.99634146341463,0.99788617886179,0.99983739837398,0.99650406504065
94,0.99626016260163,0.99634146341463,0.99829268292683,0.99918699186992,0.99780487804878
95,0.9980487804878,0.99715447154472,0.99756097560976,0.99959349593496,0.99853658536585
96,0.99658536585366,0.99747967479675,0.99674796747967,0.99821138211382,0.99747967479675
97,0.99731707317073,0.99772357723577,0.99520325203252,0.9990243902439,0.99821138211382
98,0.99577235772358,0.99747967479675,0.99666666666667,0.99918699186992,0.99569105691057
99,0.99747967479675,0.99626016260163,0.99756097560976,0.99983739837398,0.99772357723577
100,0.99731707317073,0.99626016260163,0.99829268292683,0.99837398373984,0.99650406504065
101,0.99682926829268,0.99723577235772,0.99861788617886,0.99829268292683,0.99715447154472
102,0.99609756097561,0.9960162601626,0.9979674796748,0.99910569105691,0.9980487804878
103,0.99552845528455,0.99666666666667,0.9990243902439,0.99715447154472,0.99788617886179
104,0.9969918699187,0.99731707317073,0.99756097560976,0.99837398373984,0.99747967479675
105,0.9979674796748,0.99609756097561,0.99894308943089,0.99951219512195,0.99829268292683
106,0.9990243902439,0.9969918699187,0.99772357723577,0.99878048780488,0.99788617886179
107,0.99642276422764,0.99764227642276,0.99894308943089,0.99959349593496,0.99788617886179
108,0.99691056910569,0.99780487804878,0.99747967479675,0.99926829268293,0.99691056910569
